Calls,Intern,Text,Data,Age
5.89,1.18,21.35,2.18,44
3,0.93,194.44,1.89,68
5.68,0.92,22.75,2.12,39
2.17,0.09,18.64,0.47,42
1.7,1.04,190.72,1.46,32
1.46,0.09,526.38,2.95,15
3.5,0.27,299.56,2.1,29
1.72,0.91,178.43,1.4,40
1.34,0.61,320.2,0.6,43
1.52,0.09,484.66,4.28,21
5.27,0.85,20.1,2.26,45
2.83,0.35,314.88,1.92,35
4.49,1.04,17.68,1.88,43
3.06,0.34,318.03,1.85,31
1.67,0.09,589.18,3.36,14
0.97,0.24,18.59,0.21,51
5.12,1.13,269.72,4.43,32
5.93,0.58,361.53,1.88,41
2.29,0.11,20.17,0.45,34
0.97,0.17,21.87,0.18,66
2,0.09,21.19,0.59,35
1.97,0.11,23.53,0.59,31
4.85,1.12,18.35,2.01,40
1.6,0.09,504.2,3.95,23
1.77,0.09,559.5,4.14,24
2.95,0.29,272.66,2.17,28
1.57,0.1,551.59,4.6,24
1.6,0.09,450.63,3.48,16
0.94,0.17,19.59,0.23,61
1,0.22,23.8,0.19,63
3.53,0.34,284.62,1.95,32
1.69,0.1,471.95,3.2,14
5.94,0.87,19.23,2.33,45
2.61,0.1,21.5,0.54,39
1.98,1.05,541.91,2.23,39
0.98,0.23,18.62,0.19,56
3.36,0.33,356.7,2.31,36
1.18,0.19,23.02,0.2,56
0.97,0.21,22.5,0.23,71
3.56,0.27,256.99,1.91,31
1.37,0.56,562.87,1.15,46
4.34,1.16,116.61,2.51,15
3.01,0.64,52.88,1.51,68
1.07,0.22,21.09,0.23,72
1.74,0.09,465.04,4.32,18
1.14,0.17,20.43,0.21,59
2.62,0.12,21.91,0.43,41
1.74,0.09,558.42,3.53,17
0.88,0.24,23.62,0.23,58
5.96,0.99,20.13,2.21,43
3.39,0.32,351.7,1.76,27
2.29,0.09,22.53,0.53,35
3.2,0.21,218.34,0.24,70
5.13,0.87,23.82,2.19,49
5.14,0.86,20.53,2.36,46
4.84,1.19,18.46,1.71,51
0.92,0.23,17.69,0.23,59
3.43,0.26,286.23,2.12,30
1.98,0.12,465.65,0.69,34
1.75,0.09,466.73,2.83,14
3.57,0.33,261.67,1.8,26
0.87,0.18,17.42,0.21,63
2.89,0.68,99.5,3.85,38
0.92,0.24,23.06,0.18,54
3.11,0.29,355.49,1.7,36
1.59,0.1,575.62,4,21
0.95,0.2,21.68,0.2,61
1.02,0.23,19.4,0.18,61
2.95,0.32,294.52,2.05,34
5.88,1.09,20.43,2.11,49
2.55,0.35,347.75,1.81,27
0.98,0.21,18.52,0.2,55
4.66,0.11,116.67,2.62,17
2.55,0.12,20.99,0.5,34
1.48,0.11,443.64,3.05,13
2.92,0.34,294.37,2.3,28
4.44,0.94,20.55,2.37,47
5.7,1.02,20.43,1.94,40
1.61,0.1,433,4.11,18
1.62,0.12,543.27,4.7,20
1.8,1.17,178.13,1.75,39
1.5,0.1,454.95,2.88,16
3.55,0.31,290.77,1.88,32
2.07,0.12,23.89,0.52,35
5.84,0.92,18.77,1.72,40
3.2,0.35,287.76,2.13,30
1.57,0.09,491.37,2.85,15
1.84,0.09,557.67,4.59,20
2.08,0.11,17.4,0.47,35
2.03,0.09,19.85,0.58,34
3.67,0.84,87.5,0.94,64
5.5,0.87,79.05,0.99,25
2.45,0.09,18.59,0.46,39
3.58,0.32,260.95,1.98,28
1.61,0.11,549.03,2.86,14
2.65,0.32,357.21,2.36,28
5.72,0.99,22.33,2.25,47
3.2,0.31,321.47,2.06,34
5.27,1.09,19.31,2.29,44
1.14,0.18,23.94,0.18,65
4.33,1.2,23.64,2.33,47
4.35,0.94,20.52,2.04,47
2.01,0.1,589.31,3.54,19
1.05,0.19,17.46,0.18,64
3.33,0.32,307.45,1.76,26
0.98,0.21,21.07,0.18,68
5.37,0.98,22.64,1.95,50
1.93,0.12,434.99,4.12,18
2.83,0.33,269.74,1.75,29
1.79,0.1,445.4,2.63,14
1.4,0.09,533.93,2.75,13
3.22,0.33,352.16,2.19,26
3.12,0.32,315.63,1.82,31
5.67,1.19,23.32,2.26,46
4.45,0.89,23.37,1.99,51
3.37,0.27,318.39,1.78,29
5.39,0.97,21.97,1.79,51
1.56,0.09,574.5,3.2,14
1.45,0.11,581.9,3,12
2.46,0.1,20.74,0.59,35
1.11,0.2,18.26,0.24,54
2.96,0.28,316.71,2.27,32
3.41,0.3,346.06,2.09,31
5.42,1.18,18.17,1.74,45
1.17,0.18,23.72,0.19,57
1.97,0.12,435.22,3.68,24
5.38,1.14,22.37,2.29,52
1.83,0.1,527.82,4.43,21
1.55,0.1,511.76,3.49,21
4.99,0.45,500.44,1.31,35
1.11,0.23,17.06,0.17,54
1.82,0.09,546.48,3.44,22
3.41,0.33,296.15,2.39,31
1.65,0.09,560.99,2.98,16
2.8,0.3,279.7,2.25,34
3.57,0.54,71.38,2.9,34
0.86,0.18,20.54,0.23,65
0.86,0.2,19.85,0.18,63
5.12,0.21,453.83,0.67,29
0.86,0.78,468.53,0.49,66
5.81,0.86,23.32,1.71,49
1.37,0.11,553.13,3.34,14
2.13,0.09,18.58,0.57,40
2.97,0.28,358.17,2.18,33
2.76,0.45,558.61,3.53,62
1.77,0.09,536.56,4,19
5.32,0.98,23.51,2.06,49
1.33,0.99,193.56,1.61,41
1.14,0.18,19.35,0.17,67
1.76,0.91,217.72,1.53,35
2.22,0.09,22.18,0.58,40
2.26,0.11,20.05,0.58,37
2.84,0.27,330.17,1.85,32
3.18,0.31,275.03,1.87,26
4.42,1.09,19.4,2.34,46
3.11,0.27,312.29,1.74,28
4.94,0.95,20.6,2.03,45
3.4,0.27,269.85,1.9,35
1.79,0.1,504.92,4.11,22
5.09,0.33,415.23,0.64,18
1.76,0.1,522.52,3.49,12
5.11,0.86,19.14,2.25,42
1.63,0.1,518.75,3.46,22
0.89,0.22,19.99,0.22,65
1.14,0.18,21.72,0.21,72
3.45,0.32,309.27,2.36,32
5.38,1.03,20.26,2.03,42
5.58,0.54,567.14,1.79,26
3.23,0.35,263.69,2.18,27
1.4,0.11,487.11,2.87,16
1.39,0.1,569.32,2.94,16
1.66,1.09,177.87,1.47,32
1.48,0.12,552.17,2.95,13
1.56,0.09,532.54,2.85,16
1.73,0.09,436.11,2.87,13
0.98,0.22,18.81,0.22,53
5.94,0.87,23.23,2.24,40
1.49,0.12,552.73,4.06,22
1.57,0.09,533.05,3.6,18
5.19,0.94,22.99,2.25,50
1.14,0.18,20.86,0.21,70
0.88,0.19,17.01,0.18,63
0.96,0.19,17.91,0.23,60
2.06,0.11,462.97,3.52,21
3.27,1.05,57.94,3.36,37
2.61,0.11,23.71,0.53,30
5.71,1.16,21.56,2.2,44
1.19,0.18,17.34,0.17,59
2.54,0.1,18.16,0.56,32
1.6,0.1,482.32,3.43,24
4.35,1.02,18.14,2.09,53
1.99,0.11,510.35,3.93,18
1.56,0.11,590.04,4.78,20
0.98,0.21,23.08,0.24,56
4.31,1.08,18.33,2.27,45
1.01,0.18,21.34,0.21,71
2.05,0.1,548.71,4.6,24
1.57,0.12,476.54,3.71,25
5.62,0.28,543.96,1.13,55
2.94,0.34,289.45,1.89,36
1.77,0.09,444.03,2.69,14
4.5,1.01,18.8,1.83,46
0.9,0.19,22.2,0.21,52
1.04,0.23,21.49,0.17,61
5.09,1.06,21.79,2.15,47
4.95,1.13,18.32,2.07,40
1.5,0.1,444.14,2.9,14
1.92,0.09,558.09,4.51,24
3.24,0.32,302.29,2.28,27
4.68,1.19,20.88,2.1,50
1.63,1.17,387.37,2.25,28
4.44,0.93,20.32,2.4,42
2,0.1,463.3,3.7,19
4.42,0.98,19.04,2.39,39
1.65,0.09,470.51,3.33,13
4.77,1.07,232.61,2.64,64
5.15,1.09,584.59,4.26,17
1.03,0.21,18.2,0.2,53
1.75,0.11,575.29,4.41,22
1.63,0.09,489.24,2.7,13
3.35,0.28,350.37,2.15,27
1.68,0.11,590.11,4.47,24
0.91,0.19,18.6,0.19,53
1.14,0.2,21.99,0.2,57
5.74,1,19.76,2.36,43
1.74,0.11,562.73,3.66,25
1.59,0.12,565.36,3.42,14
2.68,0.31,281.96,1.75,29
4.75,0.93,20.56,1.73,52
2.59,0.35,296.87,1.97,30
2.11,0.09,23.88,0.46,41
1.09,0.22,22.86,0.18,63
1.18,0.19,22.48,0.21,64
1.33,0.09,575.96,3.07,14
1.96,0.11,469.32,3.74,21
5,0.92,20.83,2.28,42
5.42,1,17.21,2.36,51
2.46,0.09,20.7,0.56,36
1.31,0.1,469.81,2.86,14
2.48,0.11,21.63,0.46,35
2.89,0.32,264.48,1.86,29
1.12,0.23,20.83,0.23,53
3.3,0.34,353.52,2.18,29
1.17,0.18,20.06,0.18,61
4.94,0.85,357.18,4.41,44
4.19,0.18,422.15,2.84,60
1.57,0.09,502.46,3.84,24
2.14,0.11,17.29,0.43,38
1.66,0.1,439.91,4.79,25
3.46,0.31,352.49,2.28,27
5.29,1.07,22.78,2,51
0.87,0.21,20.11,0.23,57
4.44,0.97,22.82,2.13,40
5.02,0.79,150.84,0.31,52
2.04,0.11,466.39,3.98,21
0.92,0.22,23.7,0.2,57
0.95,0.19,18.98,0.21,52
0.96,0.24,17.33,0.24,57
1.08,0.18,21.46,0.22,57
1.17,0.23,17.62,0.22,61
1.38,1.13,237.8,1.64,35
2.03,0.11,527.8,3.49,21
3.43,0.35,308.26,1.89,35
3.55,0.29,320.09,2.04,33
3.4,0.79,215,3.2,33
5.94,1.16,22.49,2.23,50
5.24,1.11,18.51,2.19,50
1.67,0.09,507.37,3.85,22
2.03,0.11,593.01,4.37,19
1.08,0.19,23.69,0.2,60
1.5,0.09,574.86,3.76,20
4.05,1.11,477.6,1.06,47
1.84,0.09,510.35,4.73,23
4.28,1.16,18.78,1.84,49
1.65,0.1,534.79,3.26,16
1.75,0.1,493.15,4.27,19
4.92,0.13,362.92,0.83,30
2.04,0.09,19.79,0.56,31
4.29,1.16,23.04,1.84,42
1,0.19,18.06,0.18,60
1.68,0.11,596.14,4.23,23
5.08,1.12,23.36,2.31,43
1.51,0.12,509.64,3.99,21
1.12,0.21,19.76,0.18,65
2.07,0.09,18.95,0.56,38
0.94,0.2,22.97,0.22,64
2.13,0.11,17.24,0.59,33
1.96,0.09,524.63,3.95,20
0.89,0.19,22.55,0.23,52
2.02,0.12,471.25,4.35,22
5.02,0.97,18.94,2.26,40
1.76,0.09,542.19,4.38,24
1.61,0.1,518.96,4.3,24
1.89,0.1,457.35,4.77,22
1.88,0.09,23.5,0.58,39
3,0.28,286.13,2.17,31
1.81,0.09,433.98,4.54,25
0.98,0.19,18.56,0.21,64
3.4,0.34,329.24,2.16,35
0.85,0.22,20.67,0.21,66
2.57,0.28,265.79,2.02,26
1.53,0.1,466.68,3.41,13
4.49,0.98,18.72,2.09,41
1.91,0.1,20.51,0.44,38
1.76,1.17,198.29,1.35,35
1.86,0.12,516.16,3.75,18
5.21,1.03,17.72,1.76,39
1.68,0.1,541.91,3.49,12
2.05,0.11,538.66,3.53,19
1.75,0.09,543.92,3.92,24
0.99,0.22,21.27,0.23,61
1.57,0.91,205.76,1.72,37
4.49,0.87,21.95,2.25,51
0.89,0.22,20.14,0.2,66
2.91,0.31,325.44,2.32,32
1.09,0.2,17.2,0.21,54
1.59,0.1,462.7,3.18,14
1.93,0.11,471.33,3.57,22
1.51,0.11,516.2,4.62,21
1.77,0.09,546.29,3.72,18
1.42,0.1,451.95,3.31,12
5.69,0.12,472.17,3.87,64
4.33,0.97,19.13,1.79,42
1,0.23,22.75,0.23,72
1.94,0.11,589.53,4.48,18
2.02,0.11,458.63,4.44,19
1.47,0.11,564.53,2.71,13
1.81,0.1,526.38,3.53,22
1,0.23,22.84,0.22,52
1.01,0.22,18.06,0.19,64
1.32,1.19,509.09,3.86,17
3.24,0.32,320.07,1.93,32
2.03,0.1,507.1,4.65,24
3.82,0.75,242.73,2.89,58
1.17,0.22,22.05,0.22,57
2.09,0.11,20.36,0.47,31
1.52,0.1,535.1,4.64,19
0.95,0.22,21.35,0.24,55
0.99,0.24,17.61,0.2,66
0.85,0.2,21.99,0.17,53
2.71,0.34,344.86,1.91,34
0.86,0.24,18.2,0.19,63
4.32,1.16,20.31,2.21,45
5.44,1.06,22.17,1.81,45
2.08,0.09,22.39,0.6,40
1.43,0.11,598.54,2.76,15
1.61,0.12,545.78,2.91,12
3.22,0.35,285.33,1.71,27
2.47,0.1,21.04,0.54,40
1.11,0.18,21.14,0.2,62
0.9,0.21,22.95,0.21,64
5.45,1.12,18.44,1.74,42
1.04,0.23,20.78,0.18,72
5.69,1.12,21.12,2.04,52
1.88,0.09,499.03,4.05,23
1.83,0.09,513.18,4.57,21
2.77,0.33,281.1,1.8,26
1.76,0.09,458.9,4.45,23
1.68,0.11,578.08,3.15,16
1.03,0.19,17.76,0.22,69
1.14,0.2,19.4,0.18,55
1.66,0.1,460.16,3.58,16
1.19,0.24,21.74,0.23,59
3.59,0.31,314.73,2.39,27
0.91,0.24,18.85,0.23,67
1.61,0.86,201.16,1.29,39
2.02,0.1,437.57,4.69,20
1.03,0.7,38.17,2.92,57
2.8,0.31,295.61,2.36,29
5.87,1.11,19.57,1.98,50
1.19,0.2,19.11,0.2,53
2.27,0.09,21.69,0.43,35
0.86,0.17,18.22,0.24,52
0.92,0.21,18.15,0.2,51
1.51,0.11,494.21,3.41,16
0.87,0.17,22.81,0.18,55
0.92,0.21,21.16,0.23,71
1.09,0.2,22.2,0.23,54
0.99,0.18,20.3,0.23,68
3.85,0.94,174.66,3.76,47
2.23,1.11,96.78,1.68,15
1.8,0.11,461.75,4.25,21
2.71,0.35,340.18,1.92,36
1.93,0.09,538.65,4.76,25
4.26,0.88,431.42,3.66,58
1.5,0.11,431.41,3.78,24
0.9,0.18,19.43,0.19,66
2.8,0.28,313.38,1.71,32
1.76,0.09,557.31,3.99,21
5.54,1,17.22,1.88,43
1.86,0.12,488.22,4.74,21
4.97,0.95,19.68,1.92,49
2.28,0.11,21.75,0.43,42
0.99,0.22,18.63,0.2,57
4.47,0.35,114.12,0.7,31
2.42,0.09,19.74,0.48,40
1.16,0.18,21.55,0.22,57
1.67,0.1,594.31,4.66,20
2.52,0.11,18.46,0.48,31
1.99,0.11,540.95,4.76,24
1.55,0.75,348.61,0.27,35
2.94,0.14,486.33,0.2,13
5.7,1.05,22.29,1.72,50
1.73,1.06,234.87,1.38,36
2.09,0.11,21.15,0.43,32
1.67,0.12,439.74,3.33,12
2.85,0.43,196.4,2.19,14
2.18,0.12,18.8,0.52,32
2.98,0.31,329.79,1.8,35
1.59,0.09,453.34,2.82,12
2.56,0.09,23.76,0.5,33
0.9,0.23,17.72,0.22,60
1.08,0.21,23.98,0.18,64
1.56,0.12,464.45,4.5,22
1.77,0.11,427.94,4.63,21
1.73,0.12,502.45,3.89,19
4.86,0.89,21.03,2.39,53
2.07,0.11,513.71,4.49,21
1.16,0.24,18.63,0.18,64
4.91,0.86,17.01,2.38,39
1.02,0.23,17.74,0.24,54
3.31,0.31,263.36,2.36,28
2.8,0.32,289.61,1.95,31
1.37,0.09,583.09,3.25,15
1.58,0.1,91.68,0.67,50
1.05,0.19,110.39,3.11,18
4.18,0.55,108.58,0.3,27
1.25,1.07,148.05,0.52,19
2.7,0.27,345.82,2.05,31
5.2,0.35,353.96,2.68,32
3,0.33,300.17,2.12,32
3.58,0.36,328.19,1.99,28
2.27,0.09,17.07,0.6,36
1.05,0.19,19.01,0.21,62
4.82,0.91,20.34,2.23,39
1.44,0.1,426.65,3.33,16
1.95,0.11,19.88,0.43,37
4.85,1.07,22.82,1.96,46
3.1,0.16,577.15,3.98,20
5.64,1.16,17.08,2.12,49
2.78,0.34,341.09,2.1,28
2.69,0.28,289.68,2.18,32
5.15,0.83,148.87,0.5,28
1.45,1.11,190.4,1.3,34
0.89,0.22,17.27,0.19,62
5.62,1.06,296.51,0.61,15
1.13,0.24,17.24,0.22,58
4.48,1.1,19.43,2.06,51
4.21,0.1,263.51,2.9,60
1.09,0.23,20.98,0.23,51
1.96,0.11,544.13,3.64,20
2.57,0.26,266.16,2.3,27
0.89,0.21,20.32,0.21,66
1.39,0.11,550.17,3.47,13
0.94,0.2,19.26,0.24,62
1.88,0.1,561.53,3.84,22
2.8,0.36,281.19,1.84,32
1.94,0.09,532.68,4.65,19
1.74,1.03,218.72,1.35,40
3.78,0.73,240.1,0.37,68
1.8,0.1,442.1,3.7,25
5.09,1.03,19.79,2.17,40
2.52,0.11,21.72,0.49,31
0.88,0.2,21.88,0.21,55
5.42,1.14,18.39,1.79,50
1.51,0.1,437.43,3.43,13
2.94,0.3,288.95,2.21,27
1.29,0.1,436.24,3.2,15
1.76,0.09,579.59,4.66,24
5.52,0.94,21.63,2.15,41
0.86,0.17,22.25,0.18,69
1.85,0.09,443.28,4.22,20
4.46,1.05,19.55,2.37,47
3,0.29,321.23,1.79,32
5.29,1.04,19.79,2.23,49
4.32,0.54,390.05,1.63,25
1.7,0.09,539.99,4.47,21
5.74,1.16,23.98,2.17,54
2.62,0.3,333.37,2.27,30
1.66,0.09,460.37,3.02,14
0.87,0.23,18.38,0.22,62
5.16,0.93,21.93,1.72,50
5.04,0.4,270.6,1.06,32
1.7,1.08,178.01,1.57,31
2.64,0.12,22.39,0.5,41
0.94,0.17,19.3,0.24,56
1.06,1.09,71.82,0.26,20
3.23,0.32,305.2,1.96,33
1.49,0.09,472.76,4.09,21
2.49,0.11,22.5,0.45,32
2.28,1.16,23.27,0.88,32
2.43,0.1,20.12,0.57,30
2.86,0.28,329.25,1.74,32
2.09,0.11,19.38,0.51,35
4.88,1.03,23.81,2.05,48
1.16,0.22,22.94,0.21,56
1.6,0.11,453.43,3.15,15
2.83,0.32,329.21,2.29,35
1.94,0.09,548.82,3.87,23
1.76,0.11,500.7,4.58,22
1.75,0.12,468.17,3.52,16
5.24,0.1,571.33,0.35,50
3.4,0.31,277.29,1.97,32
0.93,0.2,18.79,0.17,65
3.06,0.32,331.52,1.98,34
1.09,0.19,19.62,0.17,53
4.52,0.46,236.57,2.33,21
2.84,0.31,347.59,1.98,28
2.66,0.33,283.63,2.23,30
0.88,0.23,18.88,0.2,61
2.68,0.27,265.25,2.29,34
2.25,0.1,19.04,0.54,38
1.07,0.19,21.94,0.19,60
2.09,0.1,503.3,3.96,21
1.78,0.11,583.75,4.49,20
2.08,0.1,18.66,0.54,30
5.97,0.86,23.77,1.84,47
1.08,0.2,23.14,0.21,55
5.81,1.15,21.81,1.9,50
1.47,0.09,570.68,3.17,14
5.73,1.19,279.61,1.75,21
1.84,0.11,533.96,4.66,21
5.09,1.14,17.45,1.85,46
3.56,0.34,345.36,1.91,32
5.64,1.04,17.3,1.93,52
1.49,0.09,456.99,2.71,12
1.7,0.09,455.67,2.64,14
4.92,0.86,19.36,1.78,44
4.59,1,18.19,2.35,40
2.04,0.1,527.3,4.14,22
4.69,0.91,21.68,2.29,38
2.56,0.34,324.79,2.21,30
2.02,0.1,588.59,3.78,24
2.09,0.12,21.06,0.56,38
1.74,0.1,517.78,4.47,24
5.35,0.98,18.03,2.25,54
0.96,0.23,20.05,0.21,72
1.61,1.11,235.57,1.63,33
1.45,0.09,514.98,3.49,15
4.53,0.96,17.62,1.87,44
3.45,0.28,281.88,2.34,26
1.38,0.1,246.03,1.83,51
1.65,0.11,447.05,4.06,21
0.96,0.24,19.59,0.22,53
2.95,0.27,313.64,2.01,34
6,1.09,21.68,2.4,53
0.92,0.23,19.75,0.18,67
2.54,0.11,17.57,0.56,40
5.5,0.91,20.28,2.24,52
4.41,0.96,94.11,4.22,14
1.11,0.21,22.79,0.17,58
1.77,0.12,428.98,4.34,22
1.7,0.11,427.91,3.63,22
4.96,1.18,20.82,2.06,43
4.48,1.12,21.48,1.85,39
2.05,0.09,474.01,3.94,20
1.75,0.1,594.65,3.72,24
1.08,0.22,20.62,0.19,53
4.51,0.92,17.89,1.77,42
1.07,0.23,22.62,0.2,56
2.65,0.89,239.95,4.17,46
2.59,0.81,94.88,2.58,70
2.75,0.27,331.85,2.1,31
3.14,0.31,346.55,2.08,26
3.45,0.3,356.86,2.22,33
5.53,0.86,17.69,1.72,47
1.6,1.07,180.68,1.44,34
1.17,0.19,19.78,0.23,61
0.91,0.21,19.04,0.23,65
0.93,0.21,17.64,0.19,65
0.91,0.21,17.96,0.19,70
1.17,0.22,22.24,0.21,61
1.55,0.12,587.68,3.23,16
2.48,0.11,19.86,0.5,37
4.61,0.98,18.66,2.3,44
2.08,0.1,444.74,4.44,24
4.64,1.16,17.15,1.99,47
2.58,0.33,323.41,2.21,31
1.6,0.09,477.04,3.3,15
5.85,1.19,21.86,1.72,42
1.95,0.09,23.25,0.49,40
1.79,0.1,472.03,3.05,13
4.56,0.9,21.22,2.26,42
4.67,1.19,17.24,1.92,47
3.07,0.34,346.71,1.72,29
2.43,0.1,20.32,0.5,31
3.53,0.32,283.91,2.38,27
1.75,0.09,457.35,3.64,22
1.15,0.18,17.39,0.21,72
2.97,0.33,333.19,1.98,31
0.92,0.21,17.39,0.17,51
4.42,1.08,318.88,3.7,34
2.03,0.09,597.05,4.73,18
1.04,0.13,58.51,2.37,50
1.71,0.11,558.82,3.61,24
3.32,0.33,278.34,2.07,35
2.85,0.27,355.91,1.72,36
0.85,0.23,20.09,0.22,57
4.32,0.98,21.73,2.21,39
1.67,0.09,436.37,4.65,19
1.2,0.85,240.25,3.56,67
2.42,0.11,20.08,0.53,37
3.06,0.27,286,2.19,29
1.91,0.12,492.47,3.7,22
1.4,0.89,236.61,1.47,41
1.94,0.12,491.37,4.46,25
1.44,0.1,495.87,3.35,16
2.78,0.3,322.78,2.06,35
3.24,0.36,562.18,0.9,38
1.47,0.1,517.12,3.31,13
5.73,1.12,18.83,2.05,54
1.9,0.09,515.24,4.07,24
5.55,1.04,19.07,2.14,44
4.7,1.18,19.47,2.22,47
1.52,0.12,480.45,4.51,18
5.08,1.15,20.91,1.93,39
0.87,0.18,17.39,0.18,53
1.71,0.12,513.96,3.51,22
0.93,0.2,18.2,0.18,55
1.73,1.06,238.36,1.4,33
5.78,0.88,21.37,1.87,41
4.35,1.16,20.59,1.73,51
1.9,0.1,426.23,4.26,20
2.66,0.35,343.85,2.24,26
0.94,0.17,23.4,0.21,53
1.41,1.15,217.65,1.4,37
5.51,1.2,22.43,1.83,46
2.25,0.1,22.85,0.57,34
4.42,0.92,17.66,2.29,46
2.85,0.32,346.87,2.09,30
0.96,0.19,23.56,0.21,68
3.27,0.32,312.94,2.37,28
0.99,0.21,22.37,0.17,62
1.63,0.1,518.23,3.17,17
1.7,0.11,550.19,3.49,25
5.73,1.02,239.55,4.04,26
1.73,0.11,561.9,3.16,15
1.42,0.11,425.87,3.25,17
1.4,0.1,471.33,2.77,15
4.66,0.95,18.44,1.77,40
1.58,0.1,499.67,4.49,18
2.41,0.1,19.59,0.54,41
1.69,0.09,472.69,3.49,16
1.06,0.25,232.05,3.49,47
5.27,1.11,21.34,1.76,50
1.28,0.11,464.44,3.37,13
3.1,0.3,330.16,2.03,34
5.18,1.15,23.86,2.09,50
1.12,0.21,23.14,0.21,52
3.25,0.83,432.04,1.49,60
2.53,0.11,18.72,0.5,38
1.87,0.1,449.04,4.4,20
1.11,0.2,21.06,0.2,68
1.77,0.65,242.13,4.57,58
1.2,0.18,22.66,0.23,55
2.28,0.12,17.85,0.47,32
2.55,0.69,429.64,1.25,59
4.89,0.17,51.76,3.16,17
1.36,0.12,502.95,3.39,14
2.49,0.09,22.81,0.57,31
1.67,0.11,598.94,3.87,21
1.31,0.12,521.78,3.03,16
3.02,0.26,329.28,2.18,32
1.1,0.19,20.98,0.2,67
3.21,0.35,304.38,2.23,35
2.97,1.16,58.02,0.19,50
1.62,0.98,180.73,1.66,33
4.76,0.86,19.96,1.88,51
1.98,0.11,579.5,3.89,21
5.85,1.06,22.7,2.32,40
4.34,0.87,17.58,1.9,54
2.06,0.1,22.62,0.45,40
2.62,0.1,21.14,0.48,30
3.23,0.33,272.31,1.76,26
3.31,0.27,314.1,2.32,31
5.42,0.3,391.43,1.51,44
1.86,0.11,511.98,4.29,24
1.17,0.22,22.47,0.24,55
5.7,0.75,124.24,4.34,42
2.54,0.11,17.71,0.57,37
5.15,1.12,18.5,1.87,46
0.97,0.2,19.78,0.2,62
2.72,0.33,355.39,2.26,30
2.08,0.54,295.3,3.54,62
4.9,0.93,18.57,2.34,51
4.73,0.99,23.64,2.33,49
5.97,0.97,23.62,2.21,49
1.79,0.11,461.93,2.9,15
2.84,0.27,346,2.22,28
0.96,0.19,21.87,0.22,55
3.35,0.28,331.78,1.87,34
5.07,1.03,23.96,2.07,41
1.64,1.15,237.1,1.4,37
5.42,1.19,20.34,1.89,38
0.98,0.18,23.65,0.22,70
1.82,0.1,522.14,3.7,24
2.06,0.12,479.13,4.15,20
5.82,0.99,22.69,1.71,47
1.02,0.21,23.81,0.18,71
4.78,1.02,23.87,1.89,48
1.1,0.22,19.15,0.22,70
4.74,1.01,460.75,3.39,21
1.15,0.18,21.47,0.21,55
1.69,0.11,492.75,2.85,13
2.03,0.09,484.44,4.07,23
0.93,0.19,23.58,0.22,57
